Título,Precio,Moneda,Expensas,Ubicación,Superficie,Estado,Ambientes,Baños,Antigüedad,Barrio
"Villa Crespo, Capital Federal",700000,ARS,150000,"SERRANO 200, Piso 1",38.0,,1 dorm.,,25,Villa Crespo
"Belgrano, Capital Federal",950000,ARS,140000,"Juramento 2700, Piso 12",54.0,,2 dorm.,,30,Belgrano
"Barrio Norte, Capital Federal",450000,ARS,227000,VIAMONTE Y AV. CALLAO 4°,33.0,,,1,10,Barrio Norte
"Barrio Norte, Capital Federal",290000,ARS,110700,MARCELO T. DE ALVEAR al 1900 4°,25.0,,,1,40,Barrio Norte
"Barrio Norte, Capital Federal",400000,ARS,188700,SUIPACHA Y AV. CORDOBA 12°,42.0,,1 dorm.,,40,Barrio Norte
"Barrio Norte, Capital Federal",500000,ARS,170000,AV. SANTA FE al 2000 1°,50.0,,1 dorm.,,40,Barrio Norte
"Belgrano, Capital Federal",390000,ARS,120000,Amenabar 1200,25.0,Monoam.,,1,,Belgrano
"Villa Urquiza, Capital Federal",650000,ARS,130000,"Pacheco 2700, Piso 1",,,1 dorm.,1,,Villa Urquiza
"Palermo, Capital Federal",500000,ARS,80000,ARAÓZ 2300,33.0,Monoam.,,1,,Palermo
"Caballito Sur, Caballito",1100000,ARS,208000,"Muñiz 500, Piso 8",65.0,A Estrenar,2 dorm.,,,Caballito
"Almagro, Capital Federal",590000,ARS,200000,"Domingo F Sarmiento 3000, Piso 3",55.0,,2 dorm.,,49,Almagro
"Almagro, Capital Federal",550000,ARS,80000,Sanchez de Bustamante y Avenida Rivadavia,41.0,,1 dorm.,,35,Almagro
"Palermo Hollywood, Palermo",1100000,ARS,100000,"El Salvador 6000, Piso 8",52.0,A Estrenar,1 dorm.,,,Palermo
"Palermo Hollywood, Palermo",1800000,ARS,150000,"El Salvador 6000, Piso 3",65.0,A Estrenar,2 dorm.,,,Palermo
"Belgrano Chico, Belgrano",570000,ARS,160000,Echeverria 1300,45.0,,1 dorm.,1,,Belgrano
"Monserrat, Centro",400000,ARS,122000,"Solís 200, Piso 7",29.0,,,1,40,Monserrat
"Botanico, Palermo",1200000,ARS,,"Av. Santa Fe 4100, Piso 6",120.0,,3 dorm.,,65,Palermo
